88,Titan NFT #088,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
89,Titan NFT #089,Normal,green,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
90,Titan NFT #090,Normal,red,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
91,Titan NFT #091,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
92,Titan NFT #092,Normal,blue,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
93,Titan NFT #093,Normal,purple,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
94,Titan NFT #094,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
95,Titan NFT #095,Normal,mint,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
96,Titan NFT #096,Normal,yellow,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
97,Titan NFT #097,Normal,navy,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
98,Titan NFT #098,Normal,yellow,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
99,Titan NFT #099,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
100,Titan NFT #100,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
